Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	6	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Afronden op hele getallen	1	13	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Gehele getallen plaatsen op getallenlijn	1	5	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40277	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	5	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	1	24	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Afronden op hele getallen	1	15	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	7	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40277	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Afronden op hele getallen	1	6	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40281	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40286	Getallen	Optellen en aftrekken tot ±1000	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	5	rgba(0, 128, 0, 0.8)
